[118669] ['(3-6i)', '(3+3i)', '(3+3i)', '(6-6i)'] -> 3-6i * 3+3i + 3+3i - 6-6i
[118677] ['(3-6i)', '(3+3i)', '(3+3i)', '(8-8i)'] -> (3+3i - 3-6i) / (3+3i / 8-8i)
[118692] ['(3-6i)', '(3+3i)', '(3+4i)', '(4+6i)'] -> 1-i * 7+4i + 4 + 9+3i
[118704] ['(3-6i)', '(3+3i)', '(3+4i)', '(5+5i)'] -> 3-6i * (3+3i - 5+5i / 3+4i)
[118708] ['(3-6i)', '(3+3i)', '(3+4i)', '(6-9i)'] -> 3-6i * 3+4i - (3+3i + 6-9i)
[118711] ['(3-6i)', '(3+3i)', '(3+4i)', '(6-5i)'] -> -4i * (8-3i - (-9i + 8))
[118748] ['(3-6i)', '(3+3i)', '(3+5i)', '(4+7i)'] -> 3+3i * (4+7i + 3-6i - 3+5i)
[118755] ['(3-6i)', '(3+3i)', '(3+5i)', '(6-4i)'] -> 3-6i * 3+3i + 3+5i - 6-4i
[118785] ['(3-6i)', '(3+3i)', '(4-9i)', '(5-7i)'] -> 3+3i * (5-7i + 3-6i - 4-9i)
[118792] ['(3-6i)', '(3+3i)', '(4-9i)', '6'] -> 6-6i * (3+2i - (-i + 1+i))
